flat_type,price,address,buildup_area,which_floor,furnishing,bedrooms,balcony
4 BHK Flat,21.0,Santacruz West,2300,lower,Semi Furnished,4.0,0.0
4 BHK Flat,13.0,Santacruz West,2300,lower,Semi Furnished,4.0,0.0
4 BHK Flat,7.02,Matunga East,1300,lower,Semi Furnished,4.0,0.0
4 BHK Flat,10.0,Matunga East,1700,middle,Semi Furnished,4.0,3.0
4 BHK Flat,9.0,Bandra West,1500,lower,Semi Furnished,3.0,0.0
4 BHK Flat,9.5,Santacruz West,2760,lower,Semi Furnished,4.0,0.0
4 BHK Flat,18.7,Andheri West,4410,middle,Unfurnished,4.0,0.0
5 BHK Flat,9.0,Santacruz West,2040,lower,Semi Furnished,5.0,0.0
4 BHK Flat,3.75,Mulund West,1700,middle,Semi Furnished,5.0,0.0
4 BHK Flat,13.5,Andheri West,2750,middle,Unfurnished,5.0,1.0
5 BHK Flat,7.0,Borivali West,2200,lower,Fully Furnished,4.0,0.0
4 BHK Flat,5.23,Mulund West,1951,middle,Semi Furnished,4.0,1.0
4 BHK Flat,3.97,Borivali West,1453,middle,Semi Furnished,4.0,3.0
4 BHK Flat,10.88,Lower Parel,2150,middle,Semi Furnished,4.0,0.0
4 BHK Flat,8.75,Chembur,3100,lower,Semi Furnished,3.0,0.0
4 BHK Flat,10.39,Powai,2200,middle,Semi Furnished,4.0,1.0
4 BHK Flat,7.21,Worli,1600,higher,Semi Furnished,4.0,0.0
4 BHK Flat,4.26,Vikhroli East,1951,middle,Semi Furnished,4.0,0.0
4 BHK Flat,2.86,Malad West,1504,middle,Semi Furnished,3.0,2.0
4 BHK Flat,4.75,Kandivali West,2500,lower,Semi Furnished,4.0,0.0
4 BHK Flat,15.0,Santacruz West,1800,lower,Semi Furnished,4.0,2.0
4 BHK Flat,3.5,Chembur,1300,lower,Semi Furnished,2.0,2.0
5 BHK Flat,6.0,Mulund West,1802,lower,Semi Furnished,5.0,0.0
6 BHK Flat,6.3,Mulund West,2200,lower,Semi Furnished,6.0,0.0
4 BHK Flat,19.0,Bandra West,4200,lower,Semi Furnished,4.0,0.0
6 BHK Flat,6.25,Malad West,2450,lower,Semi Furnished,6.0,2.0
5 BHK Flat,1.5,Vasai East,2200,lower,Semi Furnished,1.0,0.0
4 BHK Flat,0.38,others,2000,lower,Semi Furnished,4.0,0.0
4 BHK Flat,4.0,Goregaon East,2000,lower,Semi Furnished,4.0,1.0
4 BHK Flat,3.0,Wadala,1200,lower,Semi Furnished,3.0,0.0
4 BHK Flat,2.0,Vasai West,2470,lower,Semi Furnished,4.0,1.0
4 BHK Flat,4.0,Andheri East,1870,lower,Semi Furnished,4.0,0.0
4 BHK Flat,5.0,Chembur,2500,lower,Semi Furnished,4.0,1.0
4 BHK Flat,6.5,Powai,2800,lower,Semi Furnished,4.0,3.0
2 BHK Flat,4.75,Churchgate,905,lower,Semi Furnished,2.0,0.0
3 BHK Flat,10.0,others,1796,lower,Semi Furnished,3.0,0.0
1 BHK Flat,1.95,Madanpura,550,lower,Fully Furnished,2.0,0.0
2 BHK Flat,1.9,Mira Road East,872,lower,Fully Furnished,2.0,0.0
3 BHK Flat,2.3,Sakinaka,1200,lower,Fully Furnished,3.0,0.0
3 BHK Flat,3.5,Govandi,1250,lower,Fully Furnished,3.0,0.0
1 BHK Flat,0.98,Dahisar West,465,lower,Semi Furnished,1.0,0.0
3 BHK Flat,4.2,Vikhroli West,1560,middle,Unfurnished,3.0,0.0
1 BHK Flat,0.7,Kandivali East,410,lower,Unfurnished,1.0,0.0
1 BHK Flat,0.99,Borivali East,600,lower,Unfurnished,1.0,0.0
2 BHK Flat,0.79,Virar West,1400,lower,Semi Furnished,2.0,2.0
1 BHK Flat,0.98,Borivali West,655,lower,Unfurnished,1.0,2.0
2 BHK Flat,0.98,Mira Road East,1050,lower,Semi Furnished,2.0,3.0
2 BHK Flat,1.25,Mira Road East,1150,lower,Semi Furnished,2.0,3.0
2 BHK Flat,0.45,Virar West,710,lower,Semi Furnished,2.0,3.0
1 BHK Flat,1.0,Borivali East,430,lower,Semi Furnished,1.0,0.0
2 BHK Flat,1.4,Kandivali East,710,lower,Semi Furnished,2.0,0.0
3 BHK Flat,3.7,Kandivali West,1200,lower,Fully Furnished,3.0,1.0
2 BHK Flat,4.0,Prabhadevi,1150,middle,Semi Furnished,2.0,0.0
1 BHK Flat,2.11,Dadar West,525,lower,Semi Furnished,1.0,0.0
2 BHK Flat,1.95,Bhandup West,1432,middle,Semi Furnished,2.0,1.0
1 BHK Flat,0.67,Santacruz East,350,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.3,Andheri East,600,lower,Fully Furnished,2.0,2.0
1 BHK Flat,0.47,Mira Road East,333,lower,Semi Furnished,1.0,0.0
2 BHK Flat,2.1,Kanjurmarg East,1150,middle,Unfurnished,2.0,0.0
3 BHK Flat,3.6,others,1100,lower,Fully Furnished,3.0,0.0
2 BHK Flat,2.25,Vile Parle East,661,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.75,Dahisar West,850,lower,Unfurnished,2.0,0.0
4 BHK Flat,5.7,Bhandup West,2178,middle,Semi Furnished,5.0,1.0
1 BHK Flat,1.4,Kanjurmarg East,510,middle,Fully Furnished,1.0,0.0
2 BHK Flat,0.75,Dahisar East,820,lower,Unfurnished,2.0,2.0
2 BHK Flat,1.5,Sakinaka,1050,lower,Unfurnished,2.0,2.0
4 BHK Flat,7.15,Sion,2407,middle,Semi Furnished,4.0,4.0
4 BHK Flat,10.0,Vikhroli East,3000,lower,Semi Furnished,4.0,1.0
2 BHK Flat,1.85,Kanjurmarg West,700,middle,Semi Furnished,2.0,1.0
1 BHK Flat,0.9,Kanjurmarg East,550,lower,Semi Furnished,1.0,0.0
2 BHK Flat,1.7,Dahisar West,950,middle,Unfurnished,2.0,0.0
3 BHK Flat,3.58,Bhandup East,1812,middle,Semi Furnished,3.0,1.0
3 BHK Flat,13.5,Santacruz West,2500,lower,Semi Furnished,4.0,1.0
3 BHK Flat,2.3,Mulund East,950,lower,Unfurnished,4.0,0.0
3 BHK Flat,6.2,Vile Parle East,1800,lower,Fully Furnished,3.0,0.0
1 BHK Flat,0.71,Bhandup West,550,lower,Semi Furnished,1.0,0.0
2 BHK Flat,2.25,Dahisar West,900,lower,Fully Furnished,2.0,0.0
3 BHK Flat,4.1,Powai,1350,lower,Semi Furnished,3.0,0.0
3 BHK Flat,2.65,Bhandup West,1160,middle,Semi Furnished,3.0,3.0
1 BHK Flat,0.95,Bhandup West,750,lower,Unfurnished,1.0,0.0
1 BHK Flat,1.01,Borivali East,585,lower,Semi Furnished,1.0,1.0
1 BHK Flat,0.64,Bhayandar East,710,middle,Unfurnished,1.0,2.0
2 BHK Flat,1.71,Mulund West,900,lower,Semi Furnished,2.0,1.0
3 BHK Flat,2.25,Malad West,900,lower,Semi Furnished,3.0,0.0
2 BHK Flat,1.7,Lower Parel,900,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.55,Powai,810,lower,Unfurnished,2.0,1.0
2 BHK Flat,2.3,Powai,1050,middle,Unfurnished,2.0,0.0
1 BHK Flat,1.0,Malad West,587,lower,Semi Furnished,1.0,0.0
2 BHK Flat,2.25,Chembur,1110,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.75,Borivali East,1000,lower,Semi Furnished,2.0,0.0
3 BHK Flat,3.0,Borivali West,900,lower,Unfurnished,3.0,0.0
3 BHK Flat,6.15,Parel,1550,lower,Semi Furnished,3.0,0.0
3 BHK Flat,4.42,Powai,1550,lower,Semi Furnished,3.0,3.0
4 BHK Flat,3.9,Mulund West,1700,middle,Fully Furnished,4.0,0.0
3 BHK Flat,3.4,Malad West,1100,middle,Semi Furnished,3.0,3.0
2 BHK Flat,1.35,Kanjurmarg West,629,middle,Fully Furnished,2.0,0.0
1 BHK Flat,2.1,Lower Parel,650,lower,Unfurnished,2.0,0.0
2 BHK Flat,2.35,Powai,1100,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.85,Malad West,1100,middle,Unfurnished,2.0,0.0
1 BHK Flat,0.68,Mira Road East,620,lower,Semi Furnished,1.0,1.0
2 BHK Flat,2.4,Borivali West,1000,lower,Semi Furnished,2.0,0.0
1 BHK Flat,1.35,Santacruz East,540,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.65,Mira Road East,691,middle,Unfurnished,1.0,2.0
3 BHK Flat,3.25,Borivali West,1525,lower,Fully Furnished,3.0,1.0
2 BHK Flat,2.8,Mazgaon,958,lower,Semi Furnished,2.0,1.0
1 BHK Flat,0.87,Kandivali East,570,lower,Semi Furnished,1.0,0.0
2 BHK Flat,5.5,others,1050,lower,Fully Furnished,2.0,1.0
1 BHK Flat,0.58,Goregaon East,545,lower,Fully Furnished,1.0,1.0
3 BHK Flat,5.24,Santacruz West,1675,lower,Fully Furnished,3.0,0.0
2 BHK Flat,0.75,Goregaon East,800,lower,Unfurnished,2.0,1.0
2 BHK Flat,1.85,Ghatkopar West,800,middle,Semi Furnished,2.0,0.0
2 BHK Flat,1.4,Borivali East,860,lower,Unfurnished,2.0,0.0
1 BHK Flat,0.54,Mira Road East,432,middle,Semi Furnished,1.0,2.0
1 BHK Flat,1.2,Chembur,530,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.89,Govandi,800,lower,Semi Furnished,2.0,0.0
3 BHK Flat,2.7,Wadala East,1300,lower,Unfurnished,3.0,0.0
2 BHK Flat,1.7,Borivali East,1110,middle,Unfurnished,2.0,0.0
2 BHK Flat,1.0,Mira Road East,1100,lower,Semi Furnished,2.0,3.0
3 BHK Flat,5.5,Khar West,1280,lower,Semi Furnished,3.0,0.0
2 BHK Flat,1.7,Kandivali West,980,lower,Semi Furnished,2.0,0.0
1 BHK Flat,1.0,Bhandup East,437,lower,Fully Furnished,1.0,1.0
1 BHK Flat,0.51,Mira Road East,550,lower,Semi Furnished,1.0,0.0
2 BHK Flat,2.05,Andheri East,800,lower,Semi Furnished,2.0,0.0
3 BHK Flat,1.65,Mira Road East,1500,lower,Semi Furnished,3.0,4.0
2 BHK Flat,2.15,Ghatkopar West,975,lower,Fully Furnished,2.0,0.0
2 BHK Flat,2.7,Andheri West,950,lower,Fully Furnished,2.0,2.0
2 BHK Flat,0.77,Dahisar East,805,lower,Semi Furnished,2.0,2.0
1 BHK Flat,1.1,Kandivali West,600,lower,Fully Furnished,1.0,0.0
1 BHK Flat,1.0,Kandivali West,610,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.9,Santacruz West,500,lower,Semi Furnished,1.0,0.0
2 BHK Flat,1.55,Ghatkopar East,703,lower,Semi Furnished,2.0,0.0
3 BHK Flat,5.5,Dadar West,1300,lower,Fully Furnished,3.0,2.0
2 BHK Flat,1.28,Kandivali West,750,middle,Unfurnished,2.0,0.0
3 BHK Flat,5.5,Lower Parel,1450,higher,Unfurnished,3.0,0.0
2 BHK Flat,0.42,Virar West,950,lower,Semi Furnished,2.0,3.0
2 BHK Flat,2.5,Chembur,1400,lower,Fully Furnished,2.0,0.0
2 BHK Flat,1.9,Chembur,623,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.7,Andheri East,1124,lower,Unfurnished,2.0,2.0
2 BHK Flat,1.75,Borivali East,720,middle,Unfurnished,2.0,0.0
1 BHK Flat,0.6,Mira Road East,695,middle,Semi Furnished,1.0,2.0
2 BHK Flat,0.42,Nalasopara West,940,lower,Semi Furnished,2.0,2.0
2 BHK Flat,2.1,Chembur,820,lower,Unfurnished,2.0,0.0
6 BHK Flat,12.0,Dadar West,3000,lower,Fully Furnished,6.0,5.0
2 BHK Flat,1.7,Bhandup West,750,middle,Semi Furnished,2.0,0.0
2 BHK Flat,2.5,Khar West,725,lower,Fully Furnished,2.0,0.0
2 BHK Flat,1.6,Mulund East,760,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.15,Dahisar West,800,lower,Unfurnished,2.0,0.0
3 BHK Flat,3.4,Powai,1450,lower,Semi Furnished,3.0,1.0
3 BHK Flat,4.6,Wadala,1560,middle,Semi Furnished,3.0,1.0
2 BHK Flat,2.2,Goregaon West,1100,middle,Unfurnished,2.0,3.0
3 BHK Flat,5.2,Vile Parle East,1590,lower,Fully Furnished,3.0,0.0
1 BHK Flat,1.25,Goregaon East,650,lower,Semi Furnished,1.0,1.0
2 BHK Flat,1.88,Powai,987,lower,Unfurnished,2.0,1.0
1 BHK Flat,1.05,Goregaon West,600,lower,Unfurnished,1.0,0.0
3 BHK Flat,8.25,others,1680,higher,Semi Furnished,3.0,2.0
3 BHK Flat,7.4,Lower Parel,1800,higher,Semi Furnished,3.0,0.0
3 BHK Flat,6.25,Dadar East,1100,lower,Fully Furnished,3.0,0.0
3 BHK Flat,6.25,Powai,2000,lower,Unfurnished,3.0,2.0
2 BHK Flat,1.7,Mulund West,800,middle,Semi Furnished,2.0,1.0
2 BHK Flat,1.6,Borivali West,650,lower,Semi Furnished,2.0,0.0
3 BHK Flat,2.95,Powai,1465,lower,Unfurnished,3.0,1.0
1 BHK Flat,0.24,Nalasopara West,600,lower,Unfurnished,1.0,1.0
2 BHK Flat,0.94,Mira Road East,900,middle,Unfurnished,2.0,1.0
3 BHK Flat,11.0,Santacruz West,1700,lower,Semi Furnished,3.0,0.0
1 BHK Flat,1.0,Wadala East,500,lower,Semi Furnished,1.0,0.0
3 BHK Flat,7.5,Santacruz West,1500,lower,Semi Furnished,3.0,0.0
2 BHK Flat,2.4,Malad East,1300,lower,Unfurnished,2.0,0.0
2 BHK Flat,1.75,Borivali West,750,lower,Semi Furnished,2.0,0.0
3 BHK Flat,4.25,Jogeshwari East,1250,middle,Semi Furnished,3.0,2.0
3 BHK Flat,4.95,Andheri West,1500,middle,Unfurnished,3.0,4.0
2 BHK Flat,3.5,Bandra West,1250,lower,Fully Furnished,2.0,0.0
2 BHK Flat,0.4,Virar West,950,lower,Semi Furnished,2.0,3.0
2 BHK Flat,0.4,Virar West,860,lower,Semi Furnished,2.0,1.0
1 BHK Flat,0.86,Malad West,630,lower,Unfurnished,1.0,0.0
1 BHK Flat,0.9,Bhandup West,550,lower,Unfurnished,2.0,0.0
3 BHK Flat,6.25,Powai,2000,middle,Semi Furnished,4.0,2.0
1 BHK Flat,1.17,Malad West,650,lower,Semi Furnished,1.0,0.0
2 BHK Flat,2.51,Andheri East,925,lower,Semi Furnished,2.0,0.0
3 BHK Flat,5.8,Lower Parel,1200,higher,Semi Furnished,3.0,0.0
3 BHK Flat,3.3,Mulund West,2000,middle,Unfurnished,3.0,0.0
1 BHK Flat,2.0,Mumbai Central,866,lower,Semi Furnished,2.0,0.0
3 BHK Flat,6.5,Dadar West,1850,lower,Fully Furnished,3.0,0.0
2 BHK Flat,1.25,Dahisar West,675,lower,Semi Furnished,2.0,0.0
2 BHK Flat,2.15,Kanjurmarg East,1200,middle,Semi Furnished,2.0,0.0
1 BHK Flat,0.75,Kurla West,500,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.32,Virar West,815,lower,Semi Furnished,1.0,1.0
4 BHK Flat,5.5,Santacruz East,2000,lower,Semi Furnished,4.0,0.0
3 BHK Flat,3.9,Powai,1513,middle,Unfurnished,3.0,1.0
1 BHK Flat,1.15,Mulund West,600,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.96,Wadala East,435,lower,Unfurnished,1.0,0.0
3 BHK Flat,0.66,Virar West,1350,lower,Semi Furnished,1.0,3.0
2 BHK Flat,1.86,Borivali West,825,lower,Fully Furnished,2.0,0.0
2 BHK Flat,1.3,Kandivali East,800,middle,Semi Furnished,2.0,0.0
3 BHK Flat,3.3,Jogeshwari West,1400,middle,Unfurnished,3.0,2.0
3 BHK Flat,0.65,Vasai East,840,lower,Unfurnished,3.0,2.0
2 BHK Flat,1.61,Andheri East,860,lower,Semi Furnished,2.0,0.0
2 BHK Flat,0.65,Goregaon East,780,lower,Unfurnished,2.0,0.0
1 BHK Flat,0.31,Naigaon East,560,lower,Unfurnished,1.0,3.0
1 BHK Flat,0.72,Mira Road East,750,middle,Semi Furnished,1.0,3.0
3 BHK Flat,4.65,Borivali East,1500,higher,Semi Furnished,3.0,0.0
2 BHK Flat,1.65,Andheri East,860,lower,Fully Furnished,2.0,0.0
3 BHK Flat,6.15,Khar West,1700,lower,Fully Furnished,3.0,4.0
1 BHK Flat,0.52,Thane West,644,lower,Unfurnished,1.0,0.0
2 BHK Flat,0.38,Virar West,870,lower,Semi Furnished,2.0,2.0
2 BHK Flat,1.7,Mulund West,1100,lower,Unfurnished,2.0,1.0
3 BHK Flat,2.77,Mulund West,1400,middle,Unfurnished,3.0,0.0
2 BHK Flat,2.5,Andheri West,990,lower,Unfurnished,2.0,1.0
1 BHK Flat,0.99,Mulund West,650,lower,Semi Furnished,1.0,1.0
1 BHK Flat,3.5,Tardeo,570,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.71,Vikhroli East,340,lower,Semi Furnished,1.0,0.0
2 BHK Flat,1.6,Borivali West,650,middle,Unfurnished,2.0,0.0
2 BHK Flat,1.06,Thane West,900,middle,Unfurnished,2.0,1.0
1 BHK Flat,1.25,Borivali West,560,lower,Semi Furnished,1.0,0.0
3 BHK Flat,7.75,Santacruz West,1550,lower,Fully Furnished,4.0,0.0
1 BHK Flat,0.98,Malad West,580,lower,Semi Furnished,1.0,1.0
2 BHK Flat,2.4,Powai,1250,lower,Unfurnished,2.0,2.0
3 BHK Flat,3.3,Ghatkopar East,1700,lower,Semi Furnished,3.0,0.0
1 BHK Flat,0.58,Mira Road East,700,lower,Semi Furnished,1.0,2.0
2 BHK Flat,1.6,Malad West,1000,lower,Unfurnished,2.0,0.0
2 BHK Flat,4.4,Cuffe Parade,950,lower,Fully Furnished,2.0,0.0
1 BHK Flat,1.15,Andheri East,520,lower,Semi Furnished,1.0,0.0
2 BHK Flat,4.1,Mahalakshmi,877,higher,Semi Furnished,2.0,1.0
2 BHK Flat,2.1,Andheri East,800,lower,Fully Furnished,2.0,0.0
3 BHK Flat,6.5,Ghatkopar West,1950,middle,Fully Furnished,3.0,2.0
3 BHK Flat,9.5,Tardeo,1500,lower,Fully Furnished,3.0,0.0
3 BHK Flat,8.0,Cuffe Parade,1250,lower,Semi Furnished,3.0,0.0
1 BHK Flat,1.25,Santacruz East,460,lower,Fully Furnished,1.0,0.0
3 BHK Flat,4.25,Ghatkopar East,1322,lower,Semi Furnished,3.0,0.0
2 BHK Flat,6.0,others,1200,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.8,Borivali East,850,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.65,Mira Road East,680,lower,Unfurnished,1.0,3.0
1 BHK Flat,1.2,Andheri East,700,lower,Fully Furnished,1.0,0.0
2 BHK Flat,1.4,Borivali West,785,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.18,Palghar,630,lower,Unfurnished,1.0,2.0
2 BHK Flat,0.7,Virar West,1250,lower,Semi Furnished,2.0,1.0
1 BHK Flat,2.25,Matunga East,765,lower,Unfurnished,2.0,2.0
1 BHK Flat,1.1,Kurla East,407,lower,Semi Furnished,1.0,1.0
2 BHK Flat,2.9,Vile Parle East,912,lower,Fully Furnished,2.0,0.0
1 BHK Flat,1.21,Wadala East,585,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.4,Borivali West,600,lower,Unfurnished,1.0,1.0
3 BHK Flat,4.27,Bhandup West,1320,middle,Unfurnished,3.0,1.0
2 BHK Flat,1.9,Bhandup West,750,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.35,Malad West,1050,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.65,Sakinaka,1180,lower,Semi Furnished,2.0,2.0
5 BHK Flat,12.0,Sion,3312,middle,Semi Furnished,5.0,4.0
3 BHK Flat,3.5,Kanjurmarg West,1960,middle,Semi Furnished,3.0,1.0
3 BHK Flat,5.0,Powai,1335,middle,Semi Furnished,3.0,0.0
2 BHK Flat,1.68,Kanjurmarg East,1015,middle,Semi Furnished,2.0,0.0
2 BHK Flat,1.94,Bhandup West,1250,middle,Unfurnished,2.0,0.0
2 BHK Flat,2.3,Dadar East,660,lower,Semi Furnished,2.0,0.0
2 BHK Flat,2.05,Chembur,1150,lower,Semi Furnished,2.0,0.0
3 BHK Flat,2.49,Chembur,1300,lower,Fully Furnished,3.0,0.0
1 BHK Flat,1.05,Borivali East,565,lower,Semi Furnished,2.0,1.0
3 BHK Flat,3.05,Andheri East,1300,lower,Semi Furnished,3.0,0.0
2 BHK Flat,1.7,Chembur,850,lower,Unfurnished,2.0,0.0
2 BHK Flat,1.45,Bhandup West,1000,lower,Semi Furnished,2.0,3.0
1 BHK Flat,1.15,Kandivali East,600,lower,Semi Furnished,1.0,1.0
3 BHK Flat,2.3,Kurla West,1000,lower,Unfurnished,2.0,2.0
1 BHK Flat,0.68,Mira Road East,680,lower,Semi Furnished,1.0,3.0
2 BHK Flat,4.74,Lower Parel,893,higher,Semi Furnished,2.0,0.0
3 BHK Flat,2.8,Powai,1313,middle,Unfurnished,3.0,1.0
2 BHK Flat,2.5,Malad East,1300,middle,Unfurnished,2.0,1.0
2 BHK Flat,2.29,Powai,985,middle,Unfurnished,2.0,1.0
1 BHK Flat,0.88,Kandivali West,600,lower,Fully Furnished,1.0,2.0
2 BHK Flat,2.1,Powai,850,lower,Semi Furnished,2.0,1.0
2 BHK Flat,0.95,Mira Road East,980,middle,Semi Furnished,2.0,2.0
2 BHK Flat,2.0,Santacruz East,840,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.8,Kandivali West,850,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.69,Mira Road East,612,lower,Semi Furnished,1.0,2.0
3 BHK Flat,3.35,Kandivali East,1680,middle,Semi Furnished,3.0,1.0
1 BHK Flat,0.53,Mira Road East,620,middle,Semi Furnished,1.0,2.0
3 BHK Flat,2.75,Dahisar West,1000,middle,Fully Furnished,3.0,4.0
3 BHK Flat,3.0,Powai,1650,lower,Semi Furnished,3.0,1.0
1 BHK Flat,1.08,Bhandup West,600,middle,Semi Furnished,1.0,0.0
3 BHK Flat,6.1,Santacruz West,1440,lower,Semi Furnished,3.0,0.0
1 BHK Flat,1.65,Chembur,620,lower,Unfurnished,2.0,0.0
2 BHK Flat,1.45,Mulund East,698,lower,Semi Furnished,2.0,0.0
2 BHK Flat,0.32,Boisar,930,lower,Semi Furnished,2.0,2.0
2 BHK Flat,2.2,Powai,987,lower,Semi Furnished,2.0,1.0
3 BHK Flat,9.0,Matunga East,1850,lower,Fully Furnished,4.0,0.0
2 BHK Flat,2.5,Powai,1070,lower,Semi Furnished,2.0,0.0
3 BHK Flat,8.75,Khar West,2000,lower,Semi Furnished,3.0,3.0
3 BHK Flat,5.6,Lower Parel,1206,middle,Unfurnished,3.0,1.0
2 BHK Flat,2.1,Borivali West,800,lower,Semi Furnished,2.0,0.0
2 BHK Flat,2.1,Goregaon East,850,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.39,Virar West,640,middle,Unfurnished,1.0,2.0
2 BHK Flat,2.1,Bhandup West,1000,middle,Unfurnished,2.0,2.0
2 BHK Flat,2.3,Powai,900,middle,Semi Furnished,2.0,0.0
2 BHK Flat,2.65,Andheri East,1150,lower,Semi Furnished,2.0,1.0
3 BHK Flat,5.6,Lower Parel,1650,higher,Semi Furnished,3.0,2.0
1 BHK Flat,0.24,Virar West,500,lower,Unfurnished,1.0,0.0
3 BHK Flat,4.0,Santacruz East,1450,lower,Semi Furnished,3.0,4.0
2 BHK Flat,1.87,Borivali West,598,lower,Unfurnished,2.0,0.0
2 BHK Flat,1.8,Dahisar East,825,middle,Semi Furnished,2.0,0.0
3 BHK Flat,1.25,Thane West,1220,middle,Unfurnished,3.0,2.0
2 BHK Flat,1.85,Bhandup West,1352,middle,Unfurnished,2.0,0.0
2 BHK Flat,1.7,Mulund West,1190,lower,Unfurnished,2.0,1.0
3 BHK Flat,2.75,Andheri West,1255,lower,Semi Furnished,3.0,0.0
2 BHK Flat,0.38,Virar West,966,lower,Semi Furnished,2.0,3.0
1 BHK Flat,1.15,Malad West,650,middle,Semi Furnished,1.0,0.0
2 BHK Flat,5.4,Bandra West,1000,lower,Semi Furnished,2.0,0.0
3 BHK Flat,5.5,Ghatkopar West,1950,middle,Unfurnished,3.0,1.0
3 BHK Flat,10.25,Malabar Hill,1800,lower,Fully Furnished,3.0,0.0
2 BHK Flat,5.25,Cuffe Parade,950,middle,Semi Furnished,2.0,0.0
2 BHK Flat,3.1,Santacruz East,886,lower,Fully Furnished,2.0,0.0
3 BHK Flat,7.2,Lower Parel,2400,middle,Semi Furnished,3.0,4.0
2 BHK Flat,0.89,Bhayandar East,730,lower,Semi Furnished,1.0,0.0
3 BHK Flat,3.1,Andheri East,1240,middle,Unfurnished,3.0,1.0
2 BHK Flat,1.9,Borivali West,838,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.32,Virar West,650,lower,Semi Furnished,1.0,0.0
2 BHK Flat,2.1,Powai,1150,lower,Fully Furnished,2.0,0.0
1 BHK Flat,1.45,Chembur,688,lower,Unfurnished,1.0,0.0
2 BHK Flat,4.7,Vile Parle East,1024,lower,Semi Furnished,2.0,0.0
3 BHK Flat,2.86,Wadala East,1315,lower,Semi Furnished,3.0,0.0
3 BHK Flat,3.0,Bhandup West,1118,middle,Unfurnished,3.0,0.0
2 BHK Flat,1.65,Bhandup West,720,lower,Semi Furnished,2.0,0.0
1 BHK Flat,1.3,Powai,700,lower,Fully Furnished,1.0,0.0
3 BHK Flat,5.35,Sion,1100,middle,Semi Furnished,3.0,2.0
2 BHK Flat,1.95,Bhandup West,999,middle,Semi Furnished,2.0,0.0
2 BHK Flat,2.45,Powai,1300,lower,Semi Furnished,2.0,1.0
2 BHK Flat,3.55,Powai,950,lower,Semi Furnished,2.0,1.0
2 BHK Flat,2.15,Mulund West,754,middle,Unfurnished,2.0,1.0
2 BHK Flat,1.98,Bhandup West,1250,middle,Unfurnished,2.0,0.0
1 BHK Flat,1.01,Mulund East,489,lower,Unfurnished,1.0,0.0
2 BHK Flat,3.5,Prabhadevi,750,lower,Semi Furnished,2.0,0.0
2 BHK Flat,2.85,Chembur,1200,lower,Semi Furnished,2.0,0.0
2 BHK Flat,2.62,Powai,1350,middle,Unfurnished,2.0,1.0
2 BHK Flat,2.6,Vile Parle East,910,lower,Fully Furnished,2.0,0.0
3 BHK Flat,2.75,Mulund West,1300,middle,Semi Furnished,3.0,1.0
2 BHK Flat,1.85,Chembur,820,lower,Unfurnished,2.0,0.0
2 BHK Flat,1.1,Bhandup West,740,middle,Unfurnished,2.0,0.0
2 BHK Flat,2.1,Kurla West,982,lower,Unfurnished,2.0,2.0
3 BHK Flat,7.2,Wadala,1655,higher,Fully Furnished,3.0,1.0
2 BHK Flat,2.1,Powai,1110,lower,Unfurnished,2.0,1.0
2 BHK Flat,3.0,Goregaon East,1685,middle,Semi Furnished,2.0,1.0
3 BHK Flat,4.47,Powai,1550,lower,Semi Furnished,3.0,3.0
3 BHK Flat,3.5,Powai,1600,lower,Semi Furnished,3.0,1.0
2 BHK Flat,2.11,Santacruz East,670,lower,Semi Furnished,2.0,0.0
2 BHK Flat,0.43,Virar West,915,lower,Semi Furnished,2.0,3.0
2 BHK Flat,2.6,Kandivali West,920,lower,Semi Furnished,2.0,0.0
3 BHK Flat,3.19,Andheri West,1200,lower,Fully Furnished,3.0,0.0
3 BHK Flat,3.25,Chembur,1300,lower,Unfurnished,3.0,1.0
1 BHK Flat,0.91,Kandivali East,525,lower,Unfurnished,1.0,0.0
1 BHK Flat,0.96,Dahisar West,550,lower,Unfurnished,1.0,0.0
3 BHK Flat,4.0,Goregaon West,1100,middle,Semi Furnished,3.0,1.0
